"source_id","path","source_type","author","status","notes"
"SRC-WX-001","完整副本/electric-power/electric-power.md","公众号文章","chenlei","已纳入","第6篇深度文 v2模板,16/16 PASS,18457字符"
"SRC-POST-001","完整副本/electric-power/00-outline.md","选题笔记","chenlei","已纳入","electric-power 选题大纲"
"SRC-POST-002","完整副本/electric-power/01-industry-library.md","选题笔记","chenlei","已纳入","electric-power 行业库23家公司+A16数据校验"
"SRC-VIDEO-001","完整副本/electric-power/bibi-raw.json","短视频字幕","筛解局·局长","已纳入","BV1hA7K6jER9 28分钟/851条字幕"
"SRC-VIDEO-002","完整副本/electric-power/summary-chapter.json","短视频字幕","筛解局·局长","已纳入","BV1hA7K6jER9 chapterSummary"
"SRC-VIDEO-003","完整副本/electric-power/raw-meta.json","短视频元数据","筛解局·局长","已纳入","BV1hA7K6jER9 视频元数据"
"SRC-WX-002","完整副本/morgan-ai-supply-chain/morgan-ai-supply-chain.md","公众号文章","chenlei","已纳入","第1篇深度文 v2模板,15/15 PASS"
"SRC-WX-003","完整副本/cicc-ai-population/cicc-ai-population.md","公众号文章","chenlei","已纳入","第2篇深度文 v2模板,15/15 PASS"
"SRC-WX-004","完整副本/asean-ai-supply-chain/asean-ai-supply-chain.md","公众号文章","chenlei","已纳入","第3篇深度文 v2模板,15/15 PASS"
"SRC-WX-005","完整副本/ai-three-bottlenecks/ai-three-bottlenecks.md","公众号文章","chenlei","已纳入","第4篇深度文 v3模板(访谈),15/15 PASS"
"SRC-WX-006","完整副本/ai-gpu-power-mlcc/ai-gpu-power-mlcc.md","公众号文章","chenlei","已纳入","第5篇深度文 v3模板(访谈),16/16 PASS"
"SRC-POST-003","完整副本/ai-gpu-power-mlcc/00-outline.md","选题笔记","chenlei","已纳入","ai-gpu-power-mlcc 选题大纲"
"SRC-POST-004","完整副本/ai-gpu-power-mlcc/01-industry-library.md","选题笔记","chenlei","已纳入","ai-gpu-power-mlcc 行业库40家公司+A16数据校验"
"SRC-POST-005","完整副本/ai-gpu-power-mlcc/gen-charts.py","图表脚本","chenlei","已纳入","ai-gpu-power-mlcc 5张matplotlib图脚本"
